"lr_pair","ligand_gene_symbol","receptor_gene_symbol","ligand_gene_id","receptor_gene_id","ligand_ensembl_protein_id","receptor_ensembl_protein_id","ligand_ensembl_gene_id","receptor_ensembl_gene_id","evidence"
"ICAM1_MUC1","ICAM1","MUC1",3383,4582,"ENSP00000264832","ENSP00000484824","ENSG00000090339","ENSG00000185499","22866263"
"ICAM1_EGFR","ICAM1","EGFR",3383,1956,"ENSP00000264832","ENSP00000275493","ENSG00000090339","ENSG00000146648","16799092"
"ICAM1_CAV1","ICAM1","CAV1",3383,857,"ENSP00000264832","ENSP00000339191","ENSG00000090339","ENSG00000105974","32196115"
"ICAM1_IL2RA","ICAM1","IL2RA",3383,3559,"ENSP00000264832","ENSP00000369293","ENSG00000090339","ENSG00000134460","1976256"
"ICAM1_ITGB2","ICAM1","ITGB2",3383,3689,"ENSP00000264832","ENSP00000380948","ENSG00000090339","ENSG00000160255","14507735"
"ICAM1_SPN","ICAM1","SPN",3383,6693,"ENSP00000264832","ENSP00000353238","ENSG00000090339","ENSG00000197471","1683685"
"ICAM1_IL2RG","ICAM1","IL2RG",3383,3561,"ENSP00000264832","ENSP00000363318","ENSG00000090339","ENSG00000147168","1976256"
"OLFM2_ROBO2","OLFM2","ROBO2",93145,6092,"ENSP00000264833","ENSP00000417335","ENSG00000105088","ENSG00000185008","26198319,32196115"
"F13A1_ITGA4","F13A1","ITGA4",2162,3676,"ENSP00000264870","ENSP00000380227","ENSG00000124491","ENSG00000115232","10816592"
"F13A1_ITGB1","F13A1","ITGB1",2162,3688,"ENSP00000264870","ENSP00000379350","ENSG00000124491","ENSG00000150093","10816592"
"BST1_CAV1","BST1","CAV1",683,857,"ENSP00000265016","ENSP00000339191","ENSG00000109743","ENSG00000105974","11866528"
"KNG1_ITGAM","KNG1","ITGAM",3827,3684,"ENSP00000265023","ENSP00000441691",NA,"ENSG00000169896","32196115"
"KNG1_ADRA2A","KNG1","ADRA2A",3827,150,"ENSP00000265023","ENSP00000280155",NA,"ENSG00000150594","32196115"
"KNG1_RXFP4","KNG1","RXFP4",3827,339403,"ENSP00000265023","ENSP00000357301",NA,"ENSG00000173080","14530218"
"KNG1_PLAUR","KNG1","PLAUR",3827,5329,"ENSP00000265023","ENSP00000339328",NA,"ENSG00000011422","14764580"
"KNG1_MTNR1A","KNG1","MTNR1A",3827,4543,"ENSP00000265023","ENSP00000302811",NA,"ENSG00000168412","32196115"
"KNG1_ITGB2","KNG1","ITGB2",3827,3689,"ENSP00000265023","ENSP00000380948",NA,"ENSG00000160255","10845911"
"KNG1_SDC2","KNG1","SDC2",3827,6383,"ENSP00000265023","ENSP00000307046",NA,"ENSG00000169439","32196115"
"KNG1_GRM7","KNG1","GRM7",3827,2917,"ENSP00000265023","ENSP00000350348",NA,"ENSG00000196277","32196115"
"KNG1_BDKRB2","KNG1","BDKRB2",3827,624,"ENSP00000265023","ENSP00000450482",NA,"ENSG00000168398","8063797"
"KNG1_GP1BA","KNG1","GP1BA",3827,2811,"ENSP00000265023","ENSP00000329380",NA,"ENSG00000185245","9269768"
"VCAN_ITGA4","VCAN","ITGA4",1462,3676,"ENSP00000265077","ENSP00000380227","ENSG00000038427","ENSG00000115232","11083865"
"VCAN_CD44","VCAN","CD44",1462,960,"ENSP00000265077","ENSP00000398632","ENSG00000038427","ENSG00000026508","10950950"
"VCAN_EGFR","VCAN","EGFR",1462,1956,"ENSP00000265077","ENSP00000275493","ENSG00000038427","ENSG00000146648","16045811"
"VCAN_ITGB1","VCAN","ITGB1",1462,3688,"ENSP00000265077","ENSP00000379350","ENSG00000038427","ENSG00000150093","11805102"
"VCAN_TLR1","VCAN","TLR1",1462,7096,"ENSP00000265077","ENSP00000354932","ENSG00000038427","ENSG00000174125","32196115"
"TNC_ITGA5","TNC","ITGA5",3371,3678,"ENSP00000265131","ENSP00000293379","ENSG00000041982","ENSG00000161638","9314546"
"TNC_SDC1","TNC","SDC1",3371,6382,"ENSP00000265131","ENSP00000370542","ENSG00000041982","ENSG00000115884","32196115"
"TNC_EGFR","TNC","EGFR",3371,1956,"ENSP00000265131","ENSP00000275493","ENSG00000041982","ENSG00000146648","11470832"
"TNC_ITGB3","TNC","ITGB3",3371,3690,"ENSP00000265131","ENSP00000452786","ENSG00000041982","ENSG00000259207","26055518,7693733"
"TNC_ITGB6","TNC","ITGB6",3371,3694,"ENSP00000265131","ENSP00000283249","ENSG00000041982","ENSG00000115221","26055518,8798654"
"TNC_PTPRB","TNC","PTPRB",3371,5787,"ENSP00000265131","ENSP00000334928","ENSG00000041982","ENSG00000127329","11313993"
"TNC_ITGA8","TNC","ITGA8",3371,8516,"ENSP00000265131","ENSP00000367316","ENSG00000041982","ENSG00000077943","26055518,7559467"
"TNC_ITGA7","TNC","ITGA7",3371,3679,"ENSP00000265131","ENSP00000452120","ENSG00000041982","ENSG00000135424","14715956"
"TNC_ITGB1","TNC","ITGB1",3371,3688,"ENSP00000265131","ENSP00000379350","ENSG00000041982","ENSG00000150093","14715956"
"TNC_SDC4","TNC","SDC4",3371,6385,"ENSP00000265131","ENSP00000361818","ENSG00000041982","ENSG00000124145","19723805"
"TNC_CNTN1","TNC","CNTN1",3371,1272,"ENSP00000265131","ENSP00000447006","ENSG00000041982","ENSG00000018236","30629639,10103110"
"TNC_ITGA2","TNC","ITGA2",3371,3673,"ENSP00000265131","ENSP00000296585","ENSG00000041982","ENSG00000164171","26055518,7693733"
"EGF_EGFR","EGF","EGFR",1950,1956,"ENSP00000265171","ENSP00000275493","ENSG00000138798","ENSG00000146648","12093292"
"EGF_LDLR","EGF","LDLR",1950,3949,"ENSP00000265171","ENSP00000454071","ENSG00000138798","ENSG00000130164","32196115"
"EGF_FSHR","EGF","FSHR",1950,2492,"ENSP00000265171","ENSP00000384708","ENSG00000138798","ENSG00000170820","32196115"
"EGF_ERBB3","EGF","ERBB3",1950,2065,"ENSP00000265171","ENSP00000267101","ENSG00000138798","ENSG00000065361","12093292"
"EGF_ADRB2","EGF","ADRB2",1950,154,"ENSP00000265171","ENSP00000305372","ENSG00000138798","ENSG00000169252","32196115"
"EGF_CAV1","EGF","CAV1",1950,857,"ENSP00000265171","ENSP00000339191","ENSG00000138798","ENSG00000105974","32196115"
"EGF_RHBDL2","EGF","RHBDL2",1950,54933,"ENSP00000265171","ENSP00000289248","ENSG00000138798","ENSG00000158315","21494248"
"EGF_ERBB2","EGF","ERBB2",1950,2064,"ENSP00000265171","ENSP00000269571","ENSG00000138798","ENSG00000141736","12093292"
"EGF_ERBB4","EGF","ERBB4",1950,2066,"ENSP00000265171","ENSP00000342235","ENSG00000138798","ENSG00000178568","9305636"
"EGF_NRP1","EGF","NRP1",1950,8829,"ENSP00000265171","ENSP00000265371","ENSG00000138798","ENSG00000099250","24556756"
"EGF_AXL","EGF","AXL",1950,558,"ENSP00000265171","ENSP00000301178","ENSG00000138798","ENSG00000167601","27775700"
"SEMA3C_PLXND1","SEMA3C","PLXND1",10512,23129,"ENSP00000265361","ENSP00000317128","ENSG00000075223","ENSG00000004399","15239958"
"SEMA3C_NRP1","SEMA3C","NRP1",10512,8829,"ENSP00000265361","ENSP00000265371","ENSG00000075223","ENSG00000099250","9331348"
"SEMA3C_NRP2","SEMA3C","NRP2",10512,8828,"ENSP00000265361","ENSP00000353582","ENSG00000075223","ENSG00000118257","10196546"
"SEMA3A_PLXNA4","SEMA3A","PLXNA4",10371,91584,"ENSP00000265362","ENSP00000352882","ENSG00000075213","ENSG00000221866","15721238"
"SEMA3A_PLXNA3","SEMA3A","PLXNA3",10371,55558,"ENSP00000265362","ENSP00000358696","ENSG00000075213","ENSG00000130827","32196115"
"SEMA3A_PLXNA1","SEMA3A","PLXNA1",10371,5361,"ENSP00000265362","ENSP00000377061","ENSG00000075213","ENSG00000114554","10520994"
"SEMA3A_NRP1","SEMA3A","NRP1",10371,8829,"ENSP00000265362","ENSP00000265371","ENSG00000075213","ENSG00000099250","10520994"
"SEMA3A_PLXNA2","SEMA3A","PLXNA2",10371,5362,"ENSP00000265362","ENSP00000356000","ENSG00000075213","ENSG00000076356","10934324"
"SEMA3A_NRP2","SEMA3A","NRP2",10371,8828,"ENSP00000265362","ENSP00000353582","ENSG00000075213","ENSG00000118257","21059704"
"WNT2_FZD1","WNT2","FZD1",7472,8321,"ENSP00000265441","ENSP00000287934","ENSG00000105989","ENSG00000157240","10557084"
"WNT2_FZD4","WNT2","FZD4",7472,8322,"ENSP00000265441","ENSP00000434034","ENSG00000105989","ENSG00000174804","24032637"
"WNT2_FZD9","WNT2","FZD9",7472,8326,"ENSP00000265441","ENSP00000345785","ENSG00000105989","ENSG00000188763","12138115"
"WNT2_FZD7","WNT2","FZD7",7472,8324,"ENSP00000265441","ENSP00000286201","ENSG00000105989","ENSG00000155760","26198319,32196115"
"WNT2_FZD3","WNT2","FZD3",7472,7976,"ENSP00000265441","ENSP00000437489","ENSG00000105989","ENSG00000104290","24032637"
"WNT2_FZD8","WNT2","FZD8",7472,8325,"ENSP00000265441","ENSP00000363826","ENSG00000105989","ENSG00000177283","23815780"
"WNT2_FZD5","WNT2","FZD5",7472,7855,"ENSP00000265441","ENSP00000354607","ENSG00000105989","ENSG00000163251","26198319,32196115"
"WNT2_FZD2","WNT2","FZD2",7472,2535,"ENSP00000265441","ENSP00000323901","ENSG00000105989","ENSG00000180340","24032637"
"NPTX2_NPTXR","NPTX2","NPTXR",4885,23467,"ENSP00000265634","ENSP00000327545","ENSG00000106236","ENSG00000221890","31969807"
"GAL_ADRA2A","GAL","ADRA2A",51083,150,"ENSP00000265643","ENSP00000280155","ENSG00000069482","ENSG00000150594","32196115"
"GAL_MTNR1A","GAL","MTNR1A",51083,4543,"ENSP00000265643","ENSP00000302811","ENSG00000069482","ENSG00000168412","32196115"
"GAL_GALR2","GAL","GALR2",51083,8811,"ENSP00000265643","ENSP00000329684","ENSG00000069482","ENSG00000182687","9880084"
"GAL_GRM7","GAL","GRM7",51083,2917,"ENSP00000265643","ENSP00000350348","ENSG00000069482","ENSG00000196277","32196115"
"GAL_GPR151","GAL","GPR151",51083,134391,"ENSP00000265643","ENSP00000308733","ENSG00000069482","ENSG00000173250","15111018"
"GAL_GALR1","GAL","GALR1",51083,2587,"ENSP00000265643","ENSP00000299727","ENSG00000069482","ENSG00000166573","11481429"
"ADAM2_ITGB1","ADAM2","ITGB1",2515,3688,"ENSP00000265708","ENSP00000379350","ENSG00000104755","ENSG00000150093","9889149"
"ADAM2_CD9","ADAM2","CD9",2515,928,"ENSP00000265708","ENSP00000371958","ENSG00000104755","ENSG00000010278","10518536"
"ADAM2_ITGA6","ADAM2","ITGA6",2515,3655,"ENSP00000265708","ENSP00000386896","ENSG00000104755","ENSG00000091409","9889149"
"ADAM2_ITGB7","ADAM2","ITGB7",2515,3695,"ENSP00000265708","ENSP00000267082","ENSG00000104755","ENSG00000139626","21060781"
"ADAM28_ITGA4","ADAM28","ITGA4",10863,3676,"ENSP00000265769","ENSP00000380227","ENSG00000042980","ENSG00000115232","11724793"
"SLIT1_ROBO1","SLIT1","ROBO1",6585,6091,"ENSP00000266058","ENSP00000420321","ENSG00000187122","ENSG00000169855","15207848,17392456"
"SLIT1_FLRT3","SLIT1","FLRT3",6585,23767,"ENSP00000266058","ENSP00000367292","ENSG00000187122","ENSG00000125848","24560577"
"TIMP3_CD44","TIMP3","CD44",7078,960,"ENSP00000266085","ENSP00000398632","ENSG00000100234","ENSG00000026508","14871815"
"TIMP3_MET","TIMP3","MET",7078,4233,"ENSP00000266085","ENSP00000317272","ENSG00000100234","ENSG00000105976","11228164"
"TIMP3_AGTR2","TIMP3","AGTR2",7078,186,"ENSP00000266085","ENSP00000360973","ENSG00000100234","ENSG00000180772","18344519"
"INHBE_ACVR2B","INHBE","ACVR2B",83729,93,"ENSP00000266646","ENSP00000340361","ENSG00000139269","ENSG00000114739","22710174"
"LUM_ITGB1","LUM","ITGB1",4060,3688,"ENSP00000266718","ENSP00000379350","ENSG00000139329","ENSG00000150093","32196115"
"DHH_PTCH1","DHH","PTCH1",50846,5727,"ENSP00000266991","ENSP00000332353",NA,"ENSG00000185920","9811851"
"DHH_HHIP","DHH","HHIP",50846,64399,"ENSP00000266991","ENSP00000296575",NA,"ENSG00000164161","10050855"
"DHH_BOC","DHH","BOC",50846,91653,"ENSP00000266991","ENSP00000418663",NA,"ENSG00000144857","20519495"
"DHH_CDON","DHH","CDON",50846,50937,"ENSP00000266991","ENSP00000376458",NA,"ENSG00000064309","20519495"
"DHH_PTCH2","DHH","PTCH2",50846,8643,"ENSP00000266991","ENSP00000361266",NA,"ENSG00000117425","9811851"
"NPFF_NPFFR1","NPFF","NPFFR1",8620,64106,"ENSP00000267017","ENSP00000277942","ENSG00000139574","ENSG00000148734","11024015"
"NPFF_NPFFR2","NPFF","NPFFR2",8620,10886,"ENSP00000267017","ENSP00000307822","ENSG00000139574","ENSG00000056291","11024015"
"FGF7_FGFR2","FGF7","FGFR2",2252,2263,"ENSP00000267843","ENSP00000410294","ENSG00000140285","ENSG00000066468","16597617"
"FGF7_FGFR4","FGF7","FGFR4",2252,2264,"ENSP00000267843","ENSP00000292408","ENSG00000140285","ENSG00000160867","7680645"
"FGF7_FGFR1","FGF7","FGFR1",2252,2260,"ENSP00000267843","ENSP00000393312","ENSG00000140285","ENSG00000077782","16597617"
"FGF7_FGFR3","FGF7","FGFR3",2252,2261,"ENSP00000267843","ENSP00000339824","ENSG00000140285","ENSG00000068078","8663044"
"HDC_HRH1","HDC","HRH1",3067,3269,"ENSP00000267845","ENSP00000380247","ENSG00000140287","ENSG00000196639","32196115"
"HDC_HRH2","HDC","HRH2",3067,3274,"ENSP00000267845","ENSP00000366506","ENSG00000140287","ENSG00000113749","32196115"
"HDC_HRH3","HDC","HRH3",3067,11255,"ENSP00000267845","ENSP00000342560","ENSG00000140287","ENSG00000101180","32196115"
"MFGE8_ITGB3","MFGE8","ITGB3",4240,3690,"ENSP00000268150","ENSP00000452786","ENSG00000140545","ENSG00000259207","24441829"
"IGFBP4_FZD8","IGFBP4","FZD8",3487,8325,"ENSP00000269593","ENSP00000363826","ENSG00000141753","ENSG00000177283","18528331"
"PTH2_PTH1R","PTH2","PTH1R",113091,5745,"ENSP00000270631","ENSP00000321999","ENSG00000142538","ENSG00000160801","11159842"
"PTH2_ADCYAP1R1","PTH2","ADCYAP1R1",113091,117,"ENSP00000270631","ENSP00000483721","ENSG00000142538","ENSG00000078549","32196115"
"PTH2_TSHR","PTH2","TSHR",113091,7253,"ENSP00000270631","ENSP00000441235","ENSG00000142538","ENSG00000165409","32196115"
"PTH2_GPR20","PTH2","GPR20",113091,2843,"ENSP00000270631","ENSP00000366970","ENSG00000142538","ENSG00000204882","32196115"
"PTH2_GPR84","PTH2","GPR84",113091,53831,"ENSP00000270631","ENSP00000450310","ENSG00000142538","ENSG00000139572","32196115"
"PTH2_ADRB2","PTH2","ADRB2",113091,154,"ENSP00000270631","ENSP00000305372","ENSG00000142538","ENSG00000169252","32196115"
"PTH2_ADRB3","PTH2","ADRB3",113091,155,"ENSP00000270631","ENSP00000343782","ENSG00000142538","ENSG00000188778","32196115"
"PTH2_VIPR1","PTH2","VIPR1",113091,7433,"ENSP00000270631","ENSP00000327246","ENSG00000142538","ENSG00000114812","32196115"
"PTH2_PTH2R","PTH2","PTH2R",113091,5746,"ENSP00000270631","ENSP00000272847","ENSG00000142538","ENSG00000144407","11861531"
"PROK1_PROKR1","PROK1","PROKR1",84432,10887,"ENSP00000271331","ENSP00000303775","ENSG00000143125","ENSG00000169618","11886876"
"CGN_F11R","CGN","F11R",57530,50848,"ENSP00000271636","ENSP00000357005","ENSG00000143375","ENSG00000158769","10877843"
"CGN_TGFBR2","CGN","TGFBR2",57530,7048,"ENSP00000271636","ENSP00000351905","ENSG00000143375","ENSG00000163513","32196115"
"CGN_OCLN","CGN","OCLN",57530,100506658,"ENSP00000271636","ENSP00000347379","ENSG00000143375","ENSG00000197822","32196115"
"CGN_TGFBR1","CGN","TGFBR1",57530,7046,"ENSP00000271636","ENSP00000364133","ENSG00000143375","ENSG00000106799","32196115"
"LEFTY1_ACVR2B","LEFTY1","ACVR2B",10637,93,"ENSP00000272134","ENSP00000340361","ENSG00000243709","ENSG00000114739","32196115"
"LEFTY1_ACVR1B","LEFTY1","ACVR1B",10637,91,"ENSP00000272134","ENSP00000442656","ENSG00000243709","ENSG00000135503","32196115"
"REN_ATP6AP2","REN","ATP6AP2",5972,10159,"ENSP00000272190","ENSP00000367697","ENSG00000143839","ENSG00000182220","12045255"
"GDF7_BMPR2","GDF7","BMPR2",151449,659,"ENSP00000272224","ENSP00000363708","ENSG00000143869","ENSG00000204217","16049014"
"GDF7_BMPR1A","GDF7","BMPR1A",151449,657,"ENSP00000272224","ENSP00000361107","ENSG00000143869","ENSG00000107779","16049014"
"CALM2_KCNQ3","CALM2","KCNQ3",805,3786,"ENSP00000272298","ENSP00000373648","ENSG00000143933","ENSG00000184156","12032157"
"CALM2_EGFR","CALM2","EGFR",805,1956,"ENSP00000272298","ENSP00000275493","ENSG00000143933","ENSG00000146648","21115073"
"CALM2_KCNQ5","CALM2","KCNQ5",805,56479,"ENSP00000272298","ENSP00000345055","ENSG00000143933","ENSG00000185760","12032157"
"CALM2_GRM7","CALM2","GRM7",805,2917,"ENSP00000272298","ENSP00000350348","ENSG00000143933","ENSG00000196277","20363328"
"CALM2_MYLK","CALM2","MYLK",805,4638,"ENSP00000272298","ENSP00000353452","ENSG00000143933","ENSG00000065534","1737757"
"CALM2_PDE1A","CALM2","PDE1A",805,5136,"ENSP00000272298","ENSP00000410309","ENSG00000143933","ENSG00000115252","32196115"
"CALM2_INSR","CALM2","INSR",805,3643,"ENSP00000272298","ENSP00000303830","ENSG00000143933","ENSG00000171105","32196115"
"CALM2_ADCY8","CALM2","ADCY8",805,114,"ENSP00000272298","ENSP00000286355","ENSG00000143933","ENSG00000155897","24071896"
"CALM2_PDE1C","CALM2","PDE1C",805,5137,"ENSP00000272298","ENSP00000379496","ENSG00000143933","ENSG00000154678","32196115"
"CALM2_GP6","CALM2","GP6",805,51206,"ENSP00000272298","ENSP00000308782","ENSG00000143933","ENSG00000088053","32196115"
"CALM2_SCN10A","CALM2","SCN10A",805,6336,"ENSP00000272298","ENSP00000390600","ENSG00000143933","ENSG00000185313","32196115"
"CALM2_PLPP6","CALM2","PLPP6",805,403313,"ENSP00000272298","ENSP00000371307","ENSG00000143933","ENSG00000205808","32196115"
"CALM2_AQP6","CALM2","AQP6",805,363,"ENSP00000272298","ENSP00000477688","ENSG00000143933","ENSG00000086159","32196115"
"CALM2_GRM5","CALM2","GRM5",805,2915,"ENSP00000272298","ENSP00000306138","ENSG00000143933","ENSG00000168959","9242710"
"CALM2_MYLK2","CALM2","MYLK2",805,85366,"ENSP00000272298","ENSP00000365162","ENSG00000143933","ENSG00000101306","28461506"
"CALM2_AQP1","CALM2","AQP1",805,358,"ENSP00000272298","ENSP00000311165","ENSG00000143933","ENSG00000240583","27643892"
"CALM2_SCN4A","CALM2","SCN4A",805,6329,"ENSP00000272298","ENSP00000396320","ENSG00000143933","ENSG00000007314","18270170"
"NXPH2_NRXN1","NXPH2","NRXN1",11249,9378,"ENSP00000272641","ENSP00000385142","ENSG00000144227","ENSG00000179915","8699246"
"LRIG1_EGFR","LRIG1","EGFR",26018,1956,"ENSP00000273261","ENSP00000275493","ENSG00000144749","ENSG00000146648","16847455,16978290"
"LRIG1_MET","LRIG1","MET",26018,4233,"ENSP00000273261","ENSP00000317272","ENSG00000144749","ENSG00000105976","17178829"
"UCN2_IL10RB","UCN2","IL10RB",90226,3588,"ENSP00000273610","ENSP00000290200","ENSG00000145040","ENSG00000243646","11416224"
"UCN2_CRHR2","UCN2","CRHR2",90226,1395,"ENSP00000273610","ENSP00000340943","ENSG00000145040","ENSG00000106113","11329063"
"UCN2_CRHR1","UCN2","CRHR1",90226,1394,"ENSP00000273610","ENSP00000381333","ENSG00000145040","ENSG00000120088","15450949"
"SFRP2_FZD5","SFRP2","FZD5",6423,7855,"ENSP00000274063","ENSP00000354607","ENSG00000145423","ENSG00000163251","28840375"
"MEGF10_ABCA1","MEGF10","ABCA1",84466,19,"ENSP00000274473","ENSP00000363868","ENSG00000145794","ENSG00000165029","17205124"
"IL9_IL2RG","IL9","IL2RG",3578,3561,"ENSP00000274520","ENSP00000363318","ENSG00000145839","ENSG00000147168","9535918"
"FGF18_FGFR2","FGF18","FGFR2",8817,2263,"ENSP00000274625","ENSP00000410294","ENSG00000156427","ENSG00000066468","16597617"
"FGF18_FGFR4","FGF18","FGFR4",8817,2264,"ENSP00000274625","ENSP00000292408","ENSG00000156427","ENSG00000160867","16597617"
"FGF18_FGFR1","FGF18","FGFR1",8817,2260,"ENSP00000274625","ENSP00000393312","ENSG00000156427","ENSG00000077782","16597617"
"FGF18_FGFR3","FGF18","FGFR3",8817,2261,"ENSP00000274625","ENSP00000339824","ENSG00000156427","ENSG00000068078","16597617"
"CRH_ADCYAP1R1","CRH","ADCYAP1R1",1392,117,"ENSP00000276571","ENSP00000483721","ENSG00000147571","ENSG00000078549","32196115"
"CRH_ADRB2","CRH","ADRB2",1392,154,"ENSP00000276571","ENSP00000305372","ENSG00000147571","ENSG00000169252","32196115"
"CRH_CRHR2","CRH","CRHR2",1392,1395,"ENSP00000276571","ENSP00000340943","ENSG00000147571","ENSG00000106113","11123370"
"CRH_GPR84","CRH","GPR84",1392,53831,"ENSP00000276571","ENSP00000450310","ENSG00000147571","ENSG00000139572","32196115"
"CRH_PTH1R","CRH","PTH1R",1392,5745,"ENSP00000276571","ENSP00000321999","ENSG00000147571","ENSG00000160801","32196115"
"CRH_VIPR1","CRH","VIPR1",1392,7433,"ENSP00000276571","ENSP00000327246","ENSG00000147571","ENSG00000114812","32196115"
"CRH_GPR20","CRH","GPR20",1392,2843,"ENSP00000276571","ENSP00000366970","ENSG00000147571","ENSG00000204882","32196115"
"CRH_MC2R","CRH","MC2R",1392,4158,"ENSP00000276571","ENSP00000333821","ENSG00000147571","ENSG00000185231","26198319,32196115"
"CRH_CRHR1","CRH","CRHR1",1392,1394,"ENSP00000276571","ENSP00000381333","ENSG00000147571","ENSG00000120088","11123370"
"CRH_ADRB3","CRH","ADRB3",1392,155,"ENSP00000276571","ENSP00000343782","ENSG00000147571","ENSG00000188778","32196115"
"CRH_TSHR","CRH","TSHR",1392,7253,"ENSP00000276571","ENSP00000441235","ENSG00000147571","ENSG00000165409","32196115"
"RSPO2_LGR6","RSPO2","LGR6",340419,59352,"ENSP00000276659","ENSP00000356247","ENSG00000147655","ENSG00000133067","21727895"
"RSPO2_LGR4","RSPO2","LGR4",340419,55366,"ENSP00000276659","ENSP00000368516","ENSG00000147655","ENSG00000205213","21693646"
"RSPO2_ZNRF3","RSPO2","ZNRF3",340419,84133,"ENSP00000276659","ENSP00000443824","ENSG00000147655","ENSG00000183579","26123262"
"IFNA1_IFNAR2","IFNA1","IFNAR2",3439,3455,"ENSP00000276927","ENSP00000343957","ENSG00000197919","ENSG00000159110","11698684"
"IFNA1_CR2","IFNA1","CR2",3439,1380,"ENSP00000276927","ENSP00000356024","ENSG00000197919","ENSG00000117322","16785534"
"LIN7C_ABCA1","LIN7C","ABCA1",55327,19,"ENSP00000278193","ENSP00000363868","ENSG00000148943","ENSG00000165029","16192275"
"LIN7C_KCNJ4","LIN7C","KCNJ4",55327,3761,"ENSP00000278193","ENSP00000306497","ENSG00000148943","ENSG00000168135","32196115"
"SERPING1_SELE","SERPING1","SELE",710,6401,"ENSP00000278407","ENSP00000331736","ENSG00000149131","ENSG00000007908","14568956"
"GPHA2_EPHA6","GPHA2","EPHA6",170589,285220,"ENSP00000279168","ENSP00000374323","ENSG00000149735","ENSG00000080224","32103204"
"GPHA2_TSHR","GPHA2","TSHR",170589,7253,"ENSP00000279168","ENSP00000441235","ENSG00000149735","ENSG00000165409","12045258"
"CTF1_IL6ST","CTF1","IL6ST",1489,3572,"ENSP00000279804","ENSP00000370698","ENSG00000150281","ENSG00000134352","11834704"
"IL18_CD48","IL18","CD48",3606,962,"ENSP00000280357","ENSP00000484431","ENSG00000150782","ENSG00000117091","15760905"
"IL18_IL18R1","IL18","IL18R1",3606,8809,"ENSP00000280357","ENSP00000387211","ENSG00000150782","ENSG00000115604","9325300"
"IL18_IL1RAPL1","IL18","IL1RAPL1",3606,11141,"ENSP00000280357","ENSP00000368278","ENSG00000150782","ENSG00000169306","9325300"
"IL18_IL18BP","IL18","IL18BP",3606,10068,"ENSP00000280357","ENSP00000384212","ENSG00000150782","ENSG00000137496","24115947"
